"promotion_id","promotion_name","promotion_type","start_datetime","end_datetime","asin","views","units","sales"
"48ee8140","Luxe Weavers Rug â Art Deco Living Room Carpet with Marble Swirl â Persian Area Rugs for Modern Home DÃ©cor, Soft Luxury Rug, Stain-Resistant, Medium Pile, Jute Backing",LIGHTNING_DEAL,2022-11-08 12:25:00.000 +0000,2022-11-09 00:25:00.000 +0000,B08MGYQDX6,37,1,36.81
"48ee8140","Luxe Weavers Rug â Art Deco Living Room Carpet with Marble Swirl â Persian Area Rugs for Modern Home DÃ©cor, Soft Luxury Rug, Stain-Resistant, Medium Pile, Jute Backing",LIGHTNING_DEAL,2022-11-08 12:25:00.000 +0000,2022-11-09 00:25:00.000 +0000,B08MFT57ZN,85,2,221.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B073Z6LJX1,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B01M4PXW7U,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B09VYDC328,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B071HBKFFD,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B01N9X96B9,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B079Y4K7MJ,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B09VCVCDC9,0,0,0.0
"7ff36d4c","Persian Area Rugs Distressed Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",LIGHTNING_DEAL,2022-12-02 11:45:00.000 +0000,2022-12-02 23:45:00.000 +0000,B01IRCAT8A,0,0,0.0
